"Demographic","Estimate","MarginError"
"Units_Total_Occupied","B25009e1","B25009m1"
"Units_Owner_Occupied","B25009e2","B25009m2"
"Units_Renter_Occupied","B25009e10","B25009m10"
"Units_Total_Vacant","B25004e1","B25004m1"
"households_total","B25006e1","B25006m1"
"households_white","B25006e2","B25006m2"
"households_black","B25006e3","B25006m3"
"households_native","B25006e4","B25006m4"
"households_asian","B25006e5","B25006m5"
"households_pacific","B25006e6","B25006m6"
"households_other","B25006e7","B25006m7"
"households_two_races","B25006e8","B25006m8"
"housholds_two_races_other","B25006e9","B25006m9"
"households_three_or_more","B25006e10","B25006m10"
