Sea Level Rise (cm),Return Period (yr),File Path
0,1,D:\_SURF_Files\OurCoastOurFuture_Feet_Downscaled.gdb\SLR000_W001ft_null
0,20,D:\_SURF_Files\OurCoastOurFuture_Feet_Downscaled.gdb\SLR000_W020ft_null
0,100,D:\_SURF_Files\OurCoastOurFuture_Feet_Downscaled.gdb\SLR000_W100ft_null
25,1,D:\_SURF_Files\OurCoastOurFuture_Feet_Downscaled.gdb\SLR025_W001ft_null
25,20,D:\_SURF_Files\OurCoastOurFuture_Feet_Downscaled.gdb\SLR025_W020ft_null
25,100,D:\_SURF_Files\OurCoastOurFuture_Feet_Downscaled.gdb\SLR025_W100ft_null
50,1,D:\_SURF_Files\OurCoastOurFuture_Feet_Downscaled.gdb\SLR050_W001ft_null
50,20,D:\_SURF_Files\OurCoastOurFuture_Feet_Downscaled.gdb\SLR050_W020ft_null
50,100,D:\_SURF_Files\OurCoastOurFuture_Feet_Downscaled.gdb\SLR050_W100ft_null
75,1,D:\_SURF_Files\OurCoastOurFuture_Feet_Downscaled.gdb\SLR075_W001ft_null
75,20,D:\_SURF_Files\OurCoastOurFuture_Feet_Downscaled.gdb\SLR075_W020ft_null
75,100,D:\_SURF_Files\OurCoastOurFuture_Feet_Downscaled.gdb\SLR075_W100ft_null
