Year,0,25,50,75,100,125,150,175,200,500,0,0
2010,0.914,0,0,0,0,0,0,0,0,0,0.914,11.81
2020,0.964,0,0,0,0,0,0,0,0,0,0.964,22.575
2030,0.957,0.035,0,0,0,0,0,0,0,0,0.992,33.696
2040,0.825,0.172,0,0,0,0,0,0,0,0,0.997,49.466
2050,0.546,0.422,0.03,0,0,0,0,0,0,0,0.998,67.686
2060,0.266,0.578,0.15,0.005,0,0,0,0,0,0,0.999,86.799
2070,0.101,0.459,0.347,0.091,0.002,0,0,0,0,0,1,107.95
2080,0.035,0.259,0.411,0.215,0.072,0.008,0,0,0,0,1,144.7
2090,0.011,0.126,0.304,0.301,0.166,0.066,0.024,0.002,0,0,1,188.72
2100,0.004,0.064,0.178,0.291,0.224,0.135,0.057,0.036,0.011,0,1,233.19
