"PUC","Height_Feet","Area_Feet","LAND_SQUAR","YEAR_BUILT","ASSESSOR_STORIES"
19,22,3871,5465,1955,1
1,24,406,5280,1924,1
17,24,46890,155683,1974,1
1,25,475,5175,1925,1
1,25,250,5480,1935,1
1,25,311,4160,1943,1
1,25,545,5000,1955,1
5,25,316,5700,1958,2
92,26,451,8050,1910,1
1,26,573,6000,1924,2
92,26,657,5750,1924,1
91,26,565,6000,1924,1
1,26,1544,5000,1935,1
1,26,564,3700,1940,1
1,26,771,2500,1944,3
38,26,25369,52272,1961,1
5,26,990,10200,1972,2
93,26,495,7500,2003,2
1,27,632,5900,1912,1
1,27,887,6650,1918,2
1,27,589,6000,1920,1
1,27,725,5850,1922,1
1,27,637,6080,1922,1
1,27,635,5750,1924,1
1,27,949,4800,1924,1
1,27,648,5880,1926,1
1,27,494,8050,1930,1
1,27,660,8400,1930,1
1,27,794,7650,1932,1
1,27,734,5000,1932,1
1,27,1437,3100,1942,1
1,27,627,2000,1942,1
1,27,654,6000,1943,1
1,27,699,7735,1946,1
1,27,603,6864,1950,1
1,27,579,5356,1954,1
1,27,637,5200,1954,1
2,27,672,5915,1981,1
1,27,1561,3861,1990,2
93,28,890,6050,1902,2
92,28,808,7600,1907,1
1,28,545,8000,1912,1
1,28,572,9900,1915,2
91,28,682,10000,1917,1
1,28,697,5805,1917,2
1,28,808,6150,1922,1
1,28,612,4752,1923,1
1,28,722,4560,1924,1
1,28,800,6000,1924,1
1,28,576,6000,1925,1
1,28,587,6000,1926,1
92,28,909,8050,1927,1
1,28,885,5750,1928,1
1,28,566,6000,1928,1
1,28,621,5750,1937,2
1,28,555,6000,1938,2
1,28,878,5160,1938,1
4,28,778,5030,1940,1
1,28,641,6000,1940,1
1,28,667,5000,1940,1
1,28,1591,5400,1941,1
1,28,553,6000,1942,1
1,28,1013,5200,1944,1
1,28,891,5000,1944,1
2,28,692,7400,1945,1
1,28,584,10500,1948,1
1,28,1475,6500,1950,1
1,28,2239,5000,1950,1
1,28,743,6650,1952,1
1,28,2172,5000,1954,1
1,28,1618,2150,1957,1
1,28,1055,2500,1961,1
38,28,36879,88356,1963,1
36,28,21884,4300,1968,1
38,28,31748,74618,1974,1
1,29,857,6050,1902,1
1,29,639,6840,1908,1
1,29,822,8400,1910,1
1,29,343,5000,1917,1
1,29,673,5750,1918,2
1,29,606,5535,1919,1
1,29,411,4060,1920,2
1,29,665,6550,1923,1
1,29,615,6000,1924,1
91,29,790,3750,1925,1
1,29,603,6000,1926,1
1,29,942,2500,1934,1
1,29,842,7000,1936,1
1,29,584,6850,1938,1
1,29,1698,5000,1939,1
1,29,818,2000,1940,1
1,29,594,5800,1940,1
1,29,656,5000,1940,1
1,29,2051,4982,1941,1
1,29,932,7650,1941,1
1,29,653,4700,1944,1
1,29,717,5100,1944,1
1,29,977,1575,1948,1
3,29,582,7800,1948,1
1,29,2105,4692,1951,1
1,29,1474,2500,1954,1
1,29,2033,5253,1954,1
1,29,799,5500,1955,1
38,29,2852,5000,1960,2
1,29,1275,2500,1963,1
38,29,23309,67126,1977,1
38,29,96937,195523,1981,1
1,29,768,7840,1990,1
1,29,676,5900,1991,1
11,29,5313,10400,"2.00E+03",1
1,29,1515,2500,2002,2
1,30,611,6105,1907,1
1,30,582,6384,1907,1
91,30,729,10105,1909,2
91,30,883,5000,1912,1
1,30,1393,5060,1912,1
1,30,582,4800,1912,1
89,30,1435,6018,1917,1
1,30,640,7950,1921,1
95,30,1616,12500,1924,1
1,30,536,6000,1925,1
1,30,686,5750,1925,2
1,30,800,5000,1926,1
2,30,560,5000,1926,2
1,30,743,6000,1926,1
1,30,855,6000,1928,1
1,30,887,7650,1928,1
1,30,608,5136,1932,2
1,30,795,2500,1937,1
2,30,552,5805,1938,1
11,30,4802,10431,1939,1
2,30,614,5805,1939,1
1,30,1235,5000,1939,1
1,30,865,5800,1940,1
1,30,1956,5000,1942,1
1,30,1027,5000,1944,1
1,30,606,5000,1944,1
1,30,1628,2750,1948,1
1,30,1499,4550,1948,1
1,30,856,6250,1948,1
1,30,664,5800,1949,1
1,30,1742,5130,1949,1
1,30,619,5000,1949,1
1,30,1581,6102,1950,1
1,30,1748,6102,1950,1
1,30,1113,1800,1951,1
1,30,1090,7700,1952,1
1,30,1786,4590,1953,1
2,30,632,5175,1953,1
1,30,1957,6000,1953,1
2,30,2468,5227,1954,1
1,30,1866,5200,1954,1
1,30,2252,5200,1954,1
2,30,1624,3456,1955,1
1,30,2006,3876,1956,1
5,30,4806,7268,1957,2
2,30,1322,2500,1958,2
1,30,1793,2500,1958,1
38,30,25333,47151,1959,1
1,30,770,7560,1960,1
31,30,27542,54668,1963,1
5,30,3609,6200,1963,2
38,30,10652,28728,1965,1
2,30,623,8400,1965,1
1,30,639,9480,1977,2
1,30,624,6000,1985,2
1,30,547,6480,1990,2
1,31,1180,2508,1910,1
1,31,1428,3925,1910,1
1,31,1716,4896,1912,1
95,31,1203,18300,1914,1
1,31,698,7650,1919,2
1,31,1714,5000,1920,1
1,31,715,6000,1924,1
1,31,860,6000,1925,1
1,31,1300,5850,1925,1
1,31,679,5000,1925,1
1,31,692,6050,1927,1
95,31,897,6240,1929,2
1,31,1085,1550,1930,1
1,31,892,7000,1931,1
1,31,1740,6000,1937,1
1,31,1912,5900,1938,1
1,31,1594,3000,1939,1
1,31,1236,5000,1939,1
1,31,1510,4750,1939,1
1,31,1660,3500,1940,1
1,31,1342,3700,1940,1
1,31,1509,5000,1940,1
1,31,679,5000,1942,1
1,31,1348,5150,1943,1
2,31,1009,5000,1943,1
1,31,1469,4560,1944,1
1,31,1375,5500,1944,1
1,31,793,5000,1944,1
17,31,1415,5400,1945,1
1,31,511,5000,1946,1
1,31,467,5000,1947,1
2,31,2875,5250,1947,1
2,31,2258,5875,1948,1
1,31,2238,5000,1949,1
1,31,2008,5000,1949,1
1,31,1783,5000,1949,2
1,31,1413,5000,1949,1
1,31,2042,5000,1950,1
1,31,1407,2500,1950,1
1,31,2510,5250,1950,1
1,31,1876,5044,1950,1
1,31,1871,8378,1950,1
1,31,1915,5000,1950,1
1,31,1256,4800,1950,1
1,31,1905,5850,1950,1
1,31,1816,5000,1950,1
1,31,544,7100,1951,1
1,31,1789,5044,1951,1
1,31,1855,5044,1951,1
1,31,1811,5000,1951,1
1,31,2215,5320,1951,1
1,31,2341,5300,1951,1
1,31,3176,6500,1952,1
1,31,2275,5500,1953,1
1,31,1893,5200,1953,1
1,31,2278,5000,1953,1
1,31,1777,6000,1953,1
1,31,1448,2800,1954,1
1,31,1019,5002,1954,1
1,31,2188,5250,1954,1
1,31,1723,5150,1954,1
1,31,2717,6180,1954,1
1,31,2041,5000,1954,1
1,31,880,5150,1954,1
1,31,1756,5150,1954,1
1,31,2089,5356,1954,1
1,31,2078,5400,1955,1
1,31,1946,5250,1955,1
1,31,2306,5202,1955,1
1,31,2140,5005,1955,1
1,31,2502,5060,1955,1
1,31,2364,5005,1955,1
1,31,2417,5005,1955,1
1,31,1418,2500,1956,1
1,31,1692,3700,1956,1
1,31,2125,5000,1956,1
31,31,54564,89734,1958,1
38,31,25401,42278,1958,1
38,31,19941,44431,1958,1
12,31,18027,26136,1959,2
2,31,1966,3724,1959,1
2,31,2019,3990,1959,1
38,31,19671,47044,1960,1
2,31,2506,5000,1960,1
38,31,51645,100805,1961,1
38,31,28938,42907,1972,1
1,31,656,6000,1985,2
1,31,636,6000,2005,2
1,32,672,6500,1905,1
1,32,1015,3729,1907,1
1,32,2895,7200,1912,1
1,32,938,2925,1913,1
95,32,1195,20030500,1920,1
1,32,1210,4950,1920,1
1,32,609,6650,1922,1
1,32,2480,6000,1922,1
1,32,1952,5880,1922,1
2,32,1983,5000,1923,1
91,32,1757,6240,1923,1
1,32,1385,5000,1924,1
1,32,1295,5000,1924,1
1,32,1471,5600,1925,1
1,32,928,4136,1925,1
1,32,1135,2000,1926,1
1,32,1043,4000,1926,1
1,32,1342,5760,1928,1
1,32,788,6500,1928,2
1,32,1348,4000,1928,1
2,32,1544,6750,1928,1
1,32,729,2450,1938,1
1,32,1512,4520,1938,1
1,32,1057,2800,1938,1
1,32,1168,5650,1938,1
1,32,1179,3300,1939,1
1,32,1479,4859,1939,1
1,32,1233,5000,1940,1
1,32,1385,3700,1940,1
1,32,2049,5000,1940,1
1,32,1227,6240,1940,1
1,32,1546,5000,1940,1
1,32,1341,5000,1940,1
1,32,1668,5000,1940,1
1,32,2120,5000,1940,1
1,32,1584,5000,1940,1
1,32,1187,5125,1940,1
1,32,1126,4300,1940,1
1,32,1196,4300,1940,1
1,32,1841,4750,1940,1
92,32,2971,5610,1940,2
1,32,1541,4750,1940,1
1,32,980,4000,1940,1
1,32,1249,5100,1941,1
1,32,1469,5000,1941,1
1,32,2142,5000,1941,1
1,32,1302,5000,1941,1
1,32,1921,10800,1941,1
1,32,1191,4000,1941,1
1,32,1062,4000,1941,1
1,32,1299,4000,1941,1
2,32,2458,5450,1942,1
1,32,1909,6230,1942,1
2,32,2446,5500,1942,1
2,32,2377,5500,1943,1
2,32,2309,5500,1943,1
1,32,1963,6000,1943,1
1,32,1214,5000,1944,1
1,32,1947,4500,1944,1
1,32,1370,6700,1944,1
1,32,1196,5356,1944,1
1,32,1096,5000,1944,1
2,32,2254,6250,1944,1
1,32,1608,6000,1945,1
1,32,1528,5000,1945,1
92,32,2084,6000,1945,1
1,32,1680,6250,1945,1
1,32,1605,3700,1946,1
1,32,1693,4200,1946,1
1,32,1974,7670,1946,1
1,32,1831,4500,1946,1
1,32,751,4700,1946,1
1,32,2058,3700,1947,1
1,32,1510,3700,1947,1
1,32,1468,5500,1947,1
1,32,1642,5000,1947,1
1,32,2065,4500,1947,1
1,32,1817,4914,1947,1
13,32,7884,12387,1948,2
1,32,1862,3800,1948,1
1,32,2159,5280,1948,1
1,32,2083,5980,1948,1
1,32,2371,5400,1948,1
1,32,1465,7540,1948,1
1,32,2003,5400,1948,1
1,32,1936,7344,1948,1
1,32,2096,5200,1948,1
1,32,2110,5000,1948,1
1,32,1812,6160,1948,1
1,32,1969,7000,1948,1
