Height_ft,Area_ft,buildingID,ORIG_FID,JOIN_FID,APN,SITUS_CITY,UNITS_NUMB,USE_INT,APN_INT,APN_String,PUC,FREQUENCY,GEOID,Shape_Length_1,Shape_Area_1,CountyName,cntyGEOID,STATEFP,COUNTYFP,TRACTCE,GEOID_1,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOIDS,Shape_Length_12,Shape_Area_12,tractGEOID,GEOID_12,Shape_Length_12_13,Shape_Area_12_13,bkgpGEOID,Shape_Length,Shape_Area,0_1,0_20,0_100,25_1,25_20,25_100,50_1,50_20,50_100,75_1,75_20,75_100,floodSum,SMC_PUC_DESC,useType,Source,Stru_ID,Cont_ID,nResUnits,FFE,FFE_stdev,CSVR,CSVR_stdev,nFloors,floorArea,TARGET_FID_y,randRepCost_mean,randRepCost_stdev,randValueStru_mean,randValueStru_stdev,randValueCont_mean,randValueCont_stdev,randCSVR_mean,randCSVR_stdev,randFFE_mean,randFFE_stdev,RCP26_AAL_mean,RCP26_AAL_stdev,RCP45_AAL_mean,RCP45_AAL_stdev,RCP85_AAL_mean,RCP85_AAL_stdev,RCP85_AAL_variance,RCP26_2020_EL_mean,RCP26_2020_EL_stdev,RCP26_2030_EL_mean,RCP26_2030_EL_stdev,RCP26_2040_EL_mean,RCP26_2040_EL_stdev,RCP26_2050_EL_mean,RCP26_2050_EL_stdev,RCP26_2060_EL_mean,RCP26_2060_EL_stdev,RCP45_2020_EL_mean,RCP45_2020_EL_stdev,RCP45_2030_EL_mean,RCP45_2030_EL_stdev,RCP45_2040_EL_mean,RCP45_2040_EL_stdev,RCP45_2050_EL_mean,RCP45_2050_EL_stdev,RCP45_2060_EL_mean,RCP45_2060_EL_stdev,RCP85_2020_EL_mean,RCP85_2020_EL_stdev,RCP85_2030_EL_mean,RCP85_2030_EL_stdev,RCP85_2040_EL_mean,RCP85_2040_EL_stdev,RCP85_2050_EL_mean,RCP85_2050_EL_stdev,RCP85_2060_EL_mean,RCP85_2060_EL_stdev,0_EL_mean,0_EL_stdev,25_EL_mean,25_EL_stdev,50_EL_mean,50_EL_stdev,75_EL_mean,75_EL_stdev,RCP26_AAL_Stru_mean,RCP26_AAL_Stru_stdev,RCP45_AAL_Stru_mean,RCP45_AAL_Stru_stdev,RCP85_AAL_Stru_mean,RCP85_AAL_Stru_stdev,RCP26_2020_EL_Stru_mean,RCP26_2020_EL_Stru_stdev,RCP26_2030_EL_Stru_mean,RCP26_2030_EL_Stru_stdev,RCP26_2040_EL_Stru_mean,RCP26_2040_EL_Stru_stdev,RCP26_2050_EL_Stru_mean,RCP26_2050_EL_Stru_stdev,RCP26_2060_EL_Stru_mean,RCP26_2060_EL_Stru_stdev,RCP45_2020_EL_Stru_mean,RCP45_2020_EL_Stru_stdev,RCP45_2030_EL_Stru_mean,RCP45_2030_EL_Stru_stdev,RCP45_2040_EL_Stru_mean,RCP45_2040_EL_Stru_stdev,RCP45_2050_EL_Stru_mean,RCP45_2050_EL_Stru_stdev,RCP45_2060_EL_Stru_mean,RCP45_2060_EL_Stru_stdev,RCP85_2020_EL_Stru_mean,RCP85_2020_EL_Stru_stdev,RCP85_2030_EL_Stru_mean,RCP85_2030_EL_Stru_stdev,RCP85_2040_EL_Stru_mean,RCP85_2040_EL_Stru_stdev,RCP85_2050_EL_Stru_mean,RCP85_2050_EL_Stru_stdev,RCP85_2060_EL_Stru_mean,RCP85_2060_EL_Stru_stdev,0_EL_Stru_mean,0_EL_Stru_stdev,25_EL_Stru_mean,25_EL_Stru_stdev,50_EL_Stru_mean,50_EL_Stru_stdev,75_EL_Stru_mean,75_EL_Stru_stdev,RCP26_AAL_Cont_mean,RCP26_AAL_Cont_stdev,RCP45_AAL_Cont_mean,RCP45_AAL_Cont_stdev,RCP85_AAL_Cont_mean,RCP85_AAL_Cont_stdev,RCP26_2020_EL_Cont_mean,RCP26_2020_EL_Cont_stdev,RCP26_2030_EL_Cont_mean,RCP26_2030_EL_Cont_stdev,RCP26_2040_EL_Cont_mean,RCP26_2040_EL_Cont_stdev,RCP26_2050_EL_Cont_mean,RCP26_2050_EL_Cont_stdev,RCP26_2060_EL_Cont_mean,RCP26_2060_EL_Cont_stdev,RCP45_2020_EL_Cont_mean,RCP45_2020_EL_Cont_stdev,RCP45_2030_EL_Cont_mean,RCP45_2030_EL_Cont_stdev,RCP45_2040_EL_Cont_mean,RCP45_2040_EL_Cont_stdev,RCP45_2050_EL_Cont_mean,RCP45_2050_EL_Cont_stdev,RCP45_2060_EL_Cont_mean,RCP45_2060_EL_Cont_stdev,RCP85_2020_EL_Cont_mean,RCP85_2020_EL_Cont_stdev,RCP85_2030_EL_Cont_mean,RCP85_2030_EL_Cont_stdev,RCP85_2040_EL_Cont_mean,RCP85_2040_EL_Cont_stdev,RCP85_2050_EL_Cont_mean,RCP85_2050_EL_Cont_stdev,RCP85_2060_EL_Cont_mean,RCP85_2060_EL_Cont_stdev,0_EL_Cont_mean,0_EL_Cont_stdev,25_EL_Cont_mean,25_EL_Cont_stdev,50_EL_Cont_mean,50_EL_Cont_stdev,75_EL_Cont_mean,75_EL_Cont_stdev,0_1_dmgStru_mean,0_20_dmgStru_mean,0_100_dmgStru_mean,25_1_dmgStru_mean,25_20_dmgStru_mean,25_100_dmgStru_mean,50_1_dmgStru_mean,50_20_dmgStru_mean,50_100_dmgStru_mean,75_1_dmgStru_mean,75_20_dmgStru_mean,75_100_dmgStru_mean
36.58136749,3629.557373,1218,1218,95987,94262430,FOSTER CITY, ,1,94262430,94262430,1,1,6081,2.199483272,0.195379287,San Mateo,6081,6,81,608300,6081608300,Census Tract 6083,G5020,S,1002066,541758,37.5590519,-122.24891,6081608300,0.055873152,0.000157427,6081608300,60816083001,0.039891644,5.11E-05,60816083001,242.43978,3629.557296,0,0,0,0,0,4.355315208,3.789370298,4.765420079,5.265748262,4.765420079,5.790682793,5.643044949,34.37500167,Single Family Residence,RESIDENTIAL,USACE - San Francisquito Creek,678,678,1,1.06,0.83,0.5,0.12,1,3629.557373,1218,95.39,4.68,460456.81,22579.77,171979.51,42933.01,0.5,0.12,1.12,0.75,3021.65,743.88,3550.45,868.69,4450.78,1071.15,1147362.323,298.98,74.34,800.43,200.35,2352.31,589.67,4875.7,1202.95,7817.3,1890.78,289.45,71.97,815.44,204.14,2331.77,584.51,5697.17,1406.62,10425.35,2487.2,297.14,73.88,619.17,154.8,2371.29,595.14,7318.92,1803.75,14690.33,3388.69,0,0,614.55,152.81,20241.48,5087.1,26454.84,5274.14,2200.83,522.32,2585.98,609.69,3241.72,750.89,217.76,52.24,583,140.84,1713.34,414.56,3551.25,844.79,5693.73,1325.94,210.83,50.57,593.94,143.5,1698.37,410.93,4149.58,987.86,7593.26,1742.43,216.42,51.91,450.98,108.81,1727.16,418.43,5330.78,1266.61,10699.49,2367.74,0,0,447.61,107.37,14743.14,3576.99,19266.89,3633.89,820.81,283.17,964.46,331.63,1209.06,412.08,81.21,28.17,217.43,75.69,638.98,222.63,1324.45,457.47,2123.57,725.69,78.63,27.27,221.51,77.12,633.4,220.68,1547.6,534.75,2832.09,960.8,80.71,28,168.19,58.51,644.13,224.57,1988.14,686.29,3990.84,1330.54,0,0,166.94,57.91,5498.34,1918.43,7187.95,2237.09,0,0,0,0,0,3.24,2.67,3.65,4.15,3.65,4.67,4.53
38.28740311,2758.46582,1219,1219,95451,94262440,FOSTER CITY, ,1,94262440,94262440,1,1,6081,2.199483272,0.195379287,San Mateo,6081,6,81,608300,6081608300,Census Tract 6083,G5020,S,1002066,541758,37.5590519,-122.24891,6081608300,0.055873152,0.000157427,6081608300,60816083001,0.039891644,5.11E-05,60816083001,211.9255027,2758.465834,0,0,0,0,0,4.472878615,3.91513586,4.899387836,5.391513824,4.877515475,5.894576073,5.752406279,35.20341396,Single Family Residence,RESIDENTIAL,USACE - San Francisquito Creek,678,678,1,1.06,0.83,0.5,0.12,2,5516.931641,1219,95.42,4.45,700122.66,32654.56,263598.97,62681.75,0.5,0.12,1.11,0.76,4793.53,1156.41,5630.35,1350.45,7050.61,1665.22,2772957.648,473.15,115.64,1270.03,311.51,3736.01,916.67,7737,1870.03,12389.07,2939.32,458.08,111.96,1293.93,317.4,3703.35,908.65,9041.26,2186.61,16507.66,3866.54,470.23,114.93,981.97,240.7,3766.47,925.16,11613.96,2803.94,23209.87,5268.12,0,0,972.56,237.7,32168.21,7907.38,41423.04,8197.74,3480.92,799.69,4088.61,933.42,5120,1149.5,343.59,80.06,922.25,215.71,2712.96,634.77,5618.37,1293.37,8996.65,2029.79,332.64,77.51,939.6,219.79,2689.24,629.21,6565.49,1512.4,11987.54,2667.16,341.47,79.57,713.07,166.67,2735.07,640.7,8433.71,1939.11,16854.79,3623.74,0,0,706.24,164.56,23359.41,5476.36,30082.75,5556.58,1312.61,443.47,1541.75,519.21,1930.62,644.7,129.57,44.09,347.78,118.59,1023.05,348.92,2118.62,716.53,3392.42,1135.65,125.44,42.69,354.32,120.83,1014.11,345.87,2475.77,837.61,4520.12,1502.64,128.77,43.82,268.9,91.66,1031.39,351.99,3180.25,1074.91,6355.08,2077.52,0,0,266.32,90.63,8808.81,3007.5,11340.29,3465.42,0,0,0,0,0,3.36,2.8,3.79,4.28,3.77,4.78,4.64
39.7637825,2905.067383,1220,1220,96115,94262410,FOSTER CITY, ,1,94262410,94262410,1,1,6081,2.199483272,0.195379287,San Mateo,6081,6,81,608300,6081608300,Census Tract 6083,G5020,S,1002066,541758,37.5590519,-122.24891,6081608300,0.055873152,0.000157427,6081608300,60816083001,0.039891644,5.11E-05,60816083001,215.9350071,2905.067284,0,0,0,0,0,4.297900438,3.723753452,4.691601276,5.216535807,4.675197124,5.692257404,5.561023951,33.85826945,Single Family Residence,RESIDENTIAL,USACE - San Francisquito Creek,678,678,1,1.06,0.83,0.5,0.12,2,5810.134766,1220,95.46,4.58,737642.37,35404.2,278417.43,66713.68,0.5,0.12,1.09,0.77,4785.14,1222.56,5621.78,1427.67,7045.47,1760.33,3098761.709,475.23,122.23,1269.25,329.33,3726.46,969.17,7720.3,1977.04,12373.88,3107.29,460.09,118.34,1293,335.55,3693.92,960.69,9020.79,2311.75,16498.69,4087.3,472.3,121.48,982.27,254.46,3756.57,978.15,11587.83,2964.4,23238.13,5568.19,0,0,976.84,251.24,32050.3,8360.63,41780.04,8660.16,3471.91,846.74,4078.96,988.31,5112,1216.95,344.81,84.7,920.91,228.37,2703.74,672.2,5601.54,1369.55,8978.11,2149.04,333.82,82,938.14,232.69,2680.13,666.31,6545.13,1601.5,11971.05,2823.57,342.68,84.18,712.69,176.43,2725.59,678.49,8407.67,2053.35,16861.38,3835.16,0,0,708.75,174.1,23254.14,5800.13,30317.77,5872.67,1313.23,459.42,1542.82,537.88,1933.48,667.88,130.42,45.8,348.34,122.95,1022.72,361.49,2118.76,742.21,3395.77,1176.34,126.27,44.34,354.86,125.27,1013.79,358.32,2475.67,867.6,4527.64,1556.52,129.62,45.52,269.58,95.07,1030.98,364.66,3180.16,1113.37,6376.76,2152.29,0,0,268.08,94.15,8796.16,3114.5,11462.27,3593.61,0,0,0,0,0,3.2,2.63,3.6,4.12,3.58,4.6,4.47
37.72966003,2745.121582,1221,1221,95367,94262400,FOSTER CITY, ,1,94262400,94262400,1,1,6081,2.199483272,0.195379287,San Mateo,6081,6,81,608300,6081608300,Census Tract 6083,G5020,S,1002066,541758,37.5590519,-122.24891,6081608300,0.055873152,0.000157427,6081608300,60816083001,0.039891644,5.11E-05,60816083001,210.6715795,2745.121669,0,0,0,0,0,3.986220717,3.412073612,4.396325588,4.904855728,4.691601276,5.741470099,5.610236645,32.74278367,Single Family Residence,RESIDENTIAL,USACE - San Francisquito Creek,678,678,1,1.06,0.83,0.5,0.12,2,5490.243164,1221,95.3,4.62,695918.83,33760.06,262500.83,65022.45,0.5,0.12,1.13,0.76,4067.72,1120.37,4795.76,1308.61,6065.24,1614.44,2606416.514,399.2,111.93,1066.83,301.6,3135,887.67,6556.53,1811.7,10625.82,2849.32,386.49,108.36,1086.8,307.31,3107.64,879.9,7658.47,2118.38,14273.76,3749.8,396.74,111.24,825.52,233.03,3158.21,895.86,9848.6,2716.61,20460.54,5115.19,0,0,820.56,230.07,26948.51,7657.46,39357.49,8022.03,2952.41,786.52,3480.84,918.09,4402.3,1130.72,289.74,78.67,774.31,212.09,2275.4,624.26,4758.82,1272.11,7712.45,1996.63,280.51,76.16,788.81,216.1,2255.54,618.79,5558.61,1487.55,10360.31,2623.81,287.96,78.18,599.17,163.85,2292.24,630.09,7148.24,1907.28,14851.16,3565.65,0,0,595.57,161.7,19559.32,5386.34,28569.59,5477.89,1115.31,404.15,1314.92,473.85,1662.94,590.66,109.46,40.09,292.52,107.67,859.6,316.7,1797.72,652.68,2913.36,1039.23,105.97,38.81,298,109.7,852.1,313.93,2099.86,762.85,3913.46,1379.59,108.78,39.84,226.35,83.24,865.97,319.4,2700.36,979.38,5609.38,1923.52,0,0,224.99,82.4,7389.19,2728.26,10787.9,3344.63,0,0,0,0,0,2.85,2.28,3.26,3.77,3.56,4.61,4.48
39.7637825,2828.996338,1222,1222,95078,94262460,FOSTER CITY, ,1,94262460,94262460,1,1,6081,2.199483272,0.195379287,San Mateo,6081,6,81,608300,6081608300,Census Tract 6083,G5020,S,1002066,541758,37.5590519,-122.24891,6081608300,0.055873152,0.000157427,6081608300,60816083001,0.039891644,5.11E-05,60816083001,244.5881106,2828.996246,0,0,0,0,0,4.658792814,4.079177856,5.052493572,5.566492081,4.571303844,5.588364283,5.45713075,34.9737552,Single Family Residence,RESIDENTIAL,USACE - San Francisquito Creek,678,678,1,1.06,0.83,0.5,0.12,2,5657.992676,1222,95.84,4.55,721219.4,34219.75,268866.7,68902.58,0.5,0.13,1.08,0.74,5152.06,1174.35,6030.36,1370.95,7483.78,1689.02,2852788.56,517.23,117.63,1382.18,316.71,4056.06,931.75,8321.34,1899.15,13180.08,2981.99,500.75,113.88,1408.06,322.69,4020.62,923.59,9726.64,2220.72,17431.52,3919.77,514.04,116.9,1069.56,244.74,4091.71,940.43,12480.32,2847.38,24073.01,5330.39,0,0,1063.17,241.78,34913.62,8037.08,39820.47,8207.58,3750.94,805.23,4390.39,939.77,5448.57,1156.87,376.57,80.63,1006.29,217.28,2952.98,639.42,6058.31,1302.39,9595.75,2043.04,364.57,78.06,1025.13,221.39,2927.18,633.82,7081.43,1522.98,12691.05,2683.72,374.25,80.13,778.69,167.88,2978.94,645.41,9086.24,1952.6,17526.58,3643.15,0,0,774.04,165.74,25418.54,5516.74,28992.94,5559.99,1401.13,478.51,1639.98,559.37,2035.21,691.74,140.66,47.99,375.89,128.7,1103.08,378.15,2263.03,773.34,3584.34,1219.72,136.18,46.46,382.93,131.12,1093.44,374.84,2645.21,904.11,4740.47,1608.4,139.8,47.69,290.87,99.53,1112.77,381.57,3394.08,1159.66,6546.44,2204.93,0,0,289.13,98.64,9495.08,3258.38,10827.53,3529.97,0,0,0,0,0,3.58,3,3.97,4.49,3.49,4.51,4.38
41.3385849,3460.947266,1223,1223,95173,94262470,FOSTER CITY, ,1,94262470,94262470,1,1,6081,2.199483272,0.195379287,San Mateo,6081,6,81,608300,6081608300,Census Tract 6083,G5020,S,1002066,541758,37.5590519,-122.24891,6081608300,0.055873152,0.000157427,6081608300,60816083001,0.039891644,5.11E-05,60816083001,255.973731,3460.947319,0,0,0,0,0,4.284777117,3.7073493,4.678477955,5.203412247,4.816273117,5.833333683,5.69553833,34.21916175,Single Family Residence,RESIDENTIAL,USACE - San Francisquito Creek,678,678,1,1.06,0.83,0.5,0.12,2,6921.894531,1223,95.55,4.66,879681.75,42937.1,330966.55,81738.58,0.5,0.12,1.05,0.78,5760.86,1441.48,6775.18,1683.27,8514.26,2075.41,4307326.668,570.4,144.25,1523.15,388.41,4472.46,1142.79,9291.64,2330.97,14941.98,3663.38,552.22,139.65,1551.64,395.75,4433.41,1132.79,10855.7,2725.59,19967.74,4818.67,566.88,143.36,1178.79,300.14,4507.69,1153.39,13949.38,3495.02,28275.47,6564.6,0,0,1172.45,296.5,38457.28,9857.25,51929.48,10219.31,4187.88,1017.68,4925.23,1187.86,6189.4,1462.79,414.66,101.89,1107.27,274.52,3251.3,807.83,6754.6,1645.93,10862.02,2583.01,401.45,98.65,1127.99,279.71,3222.92,800.76,7891.6,1924.67,14515.37,3394.03,412.1,101.26,856.94,212.11,3276.92,815.39,10140.56,2467.7,20554.25,4611.17,0,0,852.33,209.44,27956.96,6969.42,37746.47,7072.46,1572.98,536.61,1849.96,628.63,2324.86,781.85,155.74,53.45,415.88,143.39,1221.15,421.49,2537.04,866.72,4079.96,1376.38,150.78,51.75,423.66,146.09,1210.49,417.81,2964.1,1013.08,5452.37,1823.75,154.78,53.12,321.86,110.88,1230.77,425.14,3808.82,1300.28,7721.22,2530.81,0,0,320.12,109.87,10500.32,3630.59,14183.01,4300.66,0,0,0,0,0,3.23,2.65,3.62,4.15,3.76,4.78,4.64
43.47113037,2304.115967,1224,1224,95097,94262360,FOSTER CITY, ,1,94262360,94262360,1,1,6081,2.199483272,0.195379287,San Mateo,6081,6,81,608300,6081608300,Census Tract 6083,G5020,S,1002066,541758,37.5590519,-122.24891,6081608300,0.055873152,0.000157427,6081608300,60816083001,0.039891644,5.11E-05,60816083001,211.1151815,2304.116046,0,0,0,0,0,4.790026426,4.21587956,5.183727264,5.708661795,4.379921436,5.396981955,5.265748262,34.9409467,Single Family Residence,RESIDENTIAL,USACE - San Francisquito Creek,678,678,1,1.06,0.83,0.5,0.12,2,4608.231934,1224,95.8,4.51,587133.04,27657.37,223400.89,53910.3,0.51,0.12,1.06,0.74,4371.69,949.98,5105.79,1108.66,6299.45,1364.68,1862351.502,441.33,95.17,1180.35,256.39,3463.55,754.42,7065.69,1536.5,11113.05,2410.04,427.27,92.14,1202.47,261.24,3433.26,747.82,8260.78,1796.73,14626.05,3165.59,438.61,94.59,913.23,198.11,3495.41,761.5,10592.48,2303.54,19954.77,4296.55,0,0,907.15,195.63,29830.79,6508.65,31210.26,6550.59,3166.38,655.77,3698.08,765.25,4562.64,941.76,319.65,65.65,854.92,176.98,2508.62,520.89,5117.62,1060.71,8049.09,1663.33,309.47,63.56,870.94,180.33,2486.68,516.33,5983.21,1240.38,10593.53,2184.37,317.68,65.24,661.45,136.73,2531.69,525.78,7672.04,1590.24,14453.09,2963.32,0,0,657.04,134.94,21606.18,4494.58,22605.44,4506.62,1205.31,382.62,1407.71,446.71,1736.81,550.51,121.68,38.48,325.43,103.29,954.93,303.49,1948.07,618.63,3063.96,971.69,117.8,37.26,331.53,105.23,946.58,300.84,2277.57,723.33,4032.52,1277.6,120.93,38.24,251.79,79.86,963.71,306.31,2920.44,927.43,5501.68,1738.66,0,0,250.11,79.1,8224.61,2616.1,8604.83,2686.2,0,0,0,0,0,3.73,3.16,4.12,4.65,3.32,4.34,4.21
37.89370346,2662.356445,1225,1225,95180,94262350,FOSTER CITY, ,1,94262350,94262350,1,1,6081,2.199483272,0.195379287,San Mateo,6081,6,81,608300,6081608300,Census Tract 6083,G5020,S,1002066,541758,37.5590519,-122.24891,6081608300,0.055873152,0.000157427,6081608300,60816083001,0.039891644,5.11E-05,60816083001,231.8440429,2662.356463,0,0,0,0,0,4.068241676,3.48862656,4.461942514,4.975940704,4.538495382,5.577428341,5.446194649,32.55686982,Single Family Residence,RESIDENTIAL,USACE - San Francisquito Creek,678,678,1,1.06,0.83,0.5,0.12,2,5324.712891,1225,95.41,4.45,675694.57,31537.03,254956.41,61659.42,0.5,0.12,1.12,0.78,4033.23,1103.13,4745.14,1288.09,5969.22,1587.98,2521680.48,399.51,110.58,1065.58,297.42,3127.65,874.68,6503.95,1783.74,10471.96,2802.92,386.78,107.05,1085.49,303.03,3100.36,867.02,7598.34,2085.68,14005.99,3686.5,397.05,109.89,824.85,229.87,3152.05,882.79,9764.73,2674.39,19873.42,5021.07,0,0,821.19,227.29,26885.04,7542.96,36789.04,7806.77,2930.7,781.82,3447.98,912.57,4337.35,1123.88,290.31,78.4,774.31,210.98,2272.71,620.56,4726.03,1264.36,7609.18,1984.38,281.06,75.91,788.77,214.97,2252.88,615.13,5521.26,1478.45,10176.95,2607.65,288.51,77.92,599.38,163.05,2290.45,626.36,7095.42,1895.56,14439.82,3543.55,0,0,596.72,161.16,19536.09,5352.41,26727.11,5440.18,1102.53,393.83,1297.17,461.21,1631.86,573.17,109.21,39.3,291.28,105.36,854.94,309.62,1777.93,636.14,2862.78,1009.21,105.73,38.05,296.72,107.34,847.48,306.92,2077.09,743.57,3829.05,1336.36,108.53,39.06,225.47,81.49,861.6,312.32,2669.3,954.27,5433.6,1851.55,0,0,224.47,80.79,7348.95,2666.78,10061.94,3126.77,0,0,0,0,0,2.94,2.37,3.34,3.85,3.41,4.45,4.32
40.19028854,3214.835693,1226,1226,94023,94261020,FOSTER CITY, ,1,94261020,94261020,1,1,6081,2.199483272,0.195379287,San Mateo,6081,6,81,608300,6081608300,Census Tract 6083,G5020,S,1002066,541758,37.5590519,-122.24891,6081608300,0.055873152,0.000157427,6081608300,60816083002,0.052978654,0.000106348,60816083002,227.8981744,3214.835681,0,0,0,0,0,4.582239946,4.035433292,5.019685427,5.500875314,4.505686919,5.511811415,5.358705521,34.51443783,Single Family Residence,RESIDENTIAL,USACE - San Francisquito Creek,678,678,1,1.06,0.83,0.5,0.12,2,6429.671387,1226,95.53,4.68,816886.02,40031.21,303435.83,77103.75,0.49,0.12,1.09,0.75,5736.92,1328.17,6714.9,1550.47,8331.02,1909.93,3647832.605,570.86,132.8,1535.4,358.05,4517.35,1053.92,9270.14,2148.13,14678.69,3372.41,552.67,128.57,1564.37,364.82,4477.83,1044.69,10836.86,2511.91,19408.42,4432.42,567.34,131.98,1186.72,276.61,4557.22,1063.75,13905.87,3220.77,26781.21,6025.47,0,0,1173.4,272.97,38938.14,9093.54,44121.95,9261.07,4182.49,925.18,4895.48,1079.76,6073.72,1329.2,416.18,92.55,1119.38,249.58,3293.36,734.67,6758.37,1496.48,10701.48,2347.47,402.92,89.6,1140.5,254.3,3264.54,728.23,7900.58,1749.96,14149.69,3083.56,413.62,91.98,865.18,192.81,3322.42,741.56,10138.04,2243.63,19524.87,4185.69,0,0,855.46,190.23,28387.71,6339.53,32167.51,6385.58,1554.43,520.89,1819.42,608.89,2257.3,752.8,154.68,51.96,416.02,139.91,1223.99,411.73,2511.77,842.07,3977.21,1327.77,149.75,50.3,423.87,142.55,1213.28,408.12,2936.27,984.53,5258.73,1750.48,153.72,51.63,321.55,108.11,1234.79,415.46,3767.83,1262.87,7256.34,2398.09,0,0,317.94,106.79,10550.42,3550.72,11954.44,3826.35,0,0,0,0,0,3.49,2.94,3.93,4.41,3.41,4.42,4.27
38.94356918,2948.324951,1227,1227,94162,94261030,FOSTER CITY, ,1,94261030,94261030,1,1,6081,2.199483272,0.195379287,San Mateo,6081,6,81,608300,6081608300,Census Tract 6083,G5020,S,1002066,541758,37.5590519,-122.24891,6081608300,0.055873152,0.000157427,6081608300,60816083002,0.052978654,0.000106348,60816083002,219.2247133,2948.324898,0,0,0,0,0,4.281496286,3.740157723,4.724409819,5.200131416,4.412729979,5.413386106,5.265748262,33.03805959,Single Family Residence,RESIDENTIAL,USACE - San Francisquito Creek,678,678,1,1.06,0.83,0.5,0.12,2,5896.649902,1227,95.38,4.73,747986.75,37132.87,279555.72,67378.85,0.5,0.12,1.13,0.76,4785.34,1202.2,5611.27,1403.53,6994.97,1729.31,2990513.076,473.02,120.15,1273.21,323.99,3748.33,953.74,7728.94,1944.36,12308.74,3053.32,457.95,116.32,1297.25,330.12,3715.54,945.38,9033.73,2273.63,16339.18,4013.81,470.11,119.4,983.94,250.29,3780.15,962.62,11598.63,2915.32,22764.21,5459.14,0,0,972.3,246.96,32303.67,8229.31,39110.97,8415.24,3481.87,841.53,4082.84,982.15,5089.66,1209.08,344.17,84.17,926.4,227,2727.31,668.22,5623.66,1361.17,8956.04,2135.33,333.21,81.49,943.89,231.29,2703.46,662.36,6573.04,1591.73,11888.71,2805,342.05,83.65,715.92,175.36,2750.46,674.48,8439.3,2040.78,16563.88,3807.96,0,0,707.45,173.01,23504.37,5766.18,28459.66,5813.71,1303.47,451.75,1528.44,528.42,1905.31,654.44,128.85,44.93,346.81,121.07,1021.02,356.41,2105.27,730.19,3352.7,1153.77,124.74,43.5,353.36,123.36,1012.09,353.29,2460.69,853.68,4450.47,1523.31,128.05,44.65,268.02,93.54,1029.69,359.6,3159.33,1095.24,6200.32,2094.62,0,0,264.85,92.36,8799.3,3073.66,10651.31,3403.67,0,0,0,0,0,3.15,2.61,3.6,4.07,3.29,4.29,4.14
